No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;time 1;time 2;delay;;Delay 2;Delay 3;Jitter
56;4,466621;10.120.93.121;118.98.113.218;TCP;66;[TCP Dup ACK 53#1] 61020  >  443 [ACK] Seq=838 Ack=41497 Win=524 Len=0 SLE=42957 SRE=44417;;;;;;;;;;4,466621;4,466743;0,000122;;-0,000491;0,000613;0,001104
57;4,466743;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=44417 Win=524 Len=0;;;;;;;;;;4,466743;4,467356;0,000613;;0,000613;0;-0,000613
58;4,467356;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=44417 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,467356;4,467356;0;;-0,000113;0,000113;0,000226
59;4,467356;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=45877 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,467356;4,467469;0,000113;;-0,006819;0,006932;0,013751
60;4,467469;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=47337 Win=524 Len=0;;;;;;;;;;4,467469;4,474401;0,006932;;0,006932;0;-0,006932
61;4,474401;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=47337 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,474401;4,474401;0;;-0,000139;0,000139;0,000278
62;4,474401;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=48797 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,474401;4,47454;0,000139;;3,00E-06;0,000136;0,000133
63;4,47454;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=50257 Win=524 Len=0;;;;;;;;;;4,47454;4,474676;0,000136;;0,000136;0;-0,000136
64;4,474676;118.98.113.218;10.120.93.121;TCP;1514;[TCP Previous segment not captured] 443  >  61020 [ACK] Seq=51717 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,474676;4,474676;0;;-0,000046;4,60E-05;0,000092
65;4,474676;118.98.113.218;10.120.93.121;TCP;1514;[TCP Out-Of-Order] 443  >  61020 [ACK] Seq=50257 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,474676;4,474722;4,60E-05;;-0,000005;5,10E-05;0,000056
